Oahu,160 - KPT Processing Center (PC),120,100,20,40,43,17,65,63,75
Oahu,170 - OR&L PC,56,46,10,13,12,21,32,43,54
Oahu,250 - Kapolei PC,23,18,5,15,2,1,89,68,72
Oahu,270 - Waianae PC,12,12,,5,3,4,56,62,59
Oahu,190 - Waipahu PC,25,25,,20,3,2,54,59,65
Oahu,290 - Wahiawa PC,13,13,0,9,2,2,7,6,9
Oahu,390 - Koolau PC,24,24,,18,4,2,26,32,28
Oahu,370 - Pohulani PC,12,11,1,6,4,1,21,25,29
Hawaii,526 - North Hilo PC,25,20,5,15,3,2,42,40,53
Hawaii,575 - South Hilo PC,14,14,,10,2,2,13,10,9
Hawaii,632 - Kamuela-Hamakua Unit,3,3,,1,1,1,9,8,12
Hawaii,633 - South Kona Unit,4,4,,3,0,1,8,9,12
Hawaii,634 - Kohala Sub-Unit,3,3,,1,0,2,2,3,1
Hawaii,635 - Kanu Sub-Unit,4,4,,1,2,1,4,8,6
Hawaii,664 - North Kona 1,6,1,4,0,1,5,3,9
Kauai,444 - Kauai PC,12,10,2,6,2,2,2,3,5
Maui,777 - Maui PC Unit,5,5,,2,1,2,2,9,8
Maui,779 - Lunalilo Building,2,2,0,0,1,1,5,8,9
Maui,852 - Molokai,3,2,1,1,1,0,4,8,6
Maui,853 - Lanai,5,5,,2,1,2,7,8,6
