Number of Persons,,Oahu,4126,7,2410,8812,244,72707
Number of Persons,,Hawaii,2417,2,995,3202,84,33474
Number of Persons,,Kauai,266,0,146,562,18,6445
Number of Persons,Maui County,Maui Island,529,0,176,1038,22,11851
Number of Persons,Maui County,Molokai,162,4,28,124,0,2037
Number of Persons,Maui County,Molokai,22,0,5,17,2,318
Number of Households,,Oahu,1270,3,2384,8244,222,33152
Number of Households,,Hawaii,758,1,982,3113,79,16410
Number of Households,,Kauai,86,0,144,547,17,3088
Number of Households,Maui County,Maui Island,117,0,173,988,20,5823
Number of Households,Maui County,Molokai,43,1,28,123,0,879
Number of Households,Maui County,Lanai,5,0,5,17,1,153
Total Actual SNAP Issuances,,Oahu,1032833,1834,766824,2022537,78567,16936112
Total Actual SNAP Issuances,,Hawaii,594308,373,318369,714159,26846,8051890
Total Actual SNAP Issuances,,Kauai,67699,0,45581,123428,5645,1483223
Total Actual SNAP Issuances,Maui County,Maui Island,135109,0,55597,239182,6591,2758667
Total Actual SNAP Issuances,Maui County,Molokai,39881,1189,8880,28183,0,491339
Total Actual SNAP Issuances,Maui County,Lanai,5322,0,1596,3924,589,11431
