Oahu,160 - KPT Processing Center (PC),120,65,2
Oahu,170 - OR&L PC,56,32,1
Oahu,250 - Kapolei PC,23,89,3
Oahu,270 - Waianae PC,12,56,1
Oahu,190 - Waipahu PC,25,54,2
Oahu,290 - Waipahu PC,13,7,1
Oahu,390 - Koolau PC,24,26,0
Oahu,370 - Pohulani PC,12,21,0
Hawaii,526 - North Hilo PC,25,42,2
Hawaii,575 - South Hilo PC,14,13,0
Hawaii,632 - Kamuela-Hamakua Unit,3,9,0
Hawaii,633 - South Kona Unit,4,8,0
Hawaii,634 - Kohala Sub-Unit,3,2,0
Hawaii,635 - Kanu Sub-Unit,4,4,1
Hawaii,664 - North Kona,6,5,1
Kauai,444 - Kauai PC,12,2,3
Maui,777 - Maui PC Unit,5,2,0
Maui,779 - Lunalilo Building,2,5,0
Maui,852 - Molokai,3,4,0
Maui,853 - Lanai,5,7,2
